ds,ticker,yhat,yhat_lower,yhat_upper,is_forecast
2025-01-13,INFY.NS,1874.8554650338044,1789.0933991512052,1962.323275787798,False
2025-01-14,INFY.NS,1875.6446676314538,1790.3569655354943,1961.696696161346,False
2025-01-15,INFY.NS,1880.0459856120333,1794.9955306866832,1970.253906873261,False
2025-01-16,INFY.NS,1880.8585495313343,1789.6143695983083,1975.7703331241948,False
2025-01-17,INFY.NS,1878.3033959695358,1791.6251110702533,1968.1218553775577,False
2025-01-20,INFY.NS,1879.083001137155,1790.3374384379113,1967.7191831528478,False
2025-01-21,INFY.NS,1879.1667672560488,1788.6372547877766,1964.2720506079434,False
2025-01-22,INFY.NS,1882.3975166456983,1787.994863312922,1974.8575472913712,False
2025-01-23,INFY.NS,1881.5776619142941,1787.644890150145,1968.8588275750192,False
2025-01-24,INFY.NS,1876.945905154512,1778.777172710714,1960.9378188454264,False
2025-01-27,INFY.NS,1869.1394289213526,1780.3653311142366,1958.8767594882556,False
2025-01-28,INFY.NS,1865.7220404288487,1778.366699816462,1952.4729308026733,False
2025-01-29,INFY.NS,1865.2225841886952,1771.2145163417722,1954.2600166916047,False
2025-01-30,INFY.NS,1860.5051455928078,1773.9423563089977,1950.8105980295024,False
2025-01-31,INFY.NS,1851.872766664966,1762.2067018568064,1948.697502726571,False
2025-02-01,INFY.NS,1798.4327075784438,1714.1071164568518,1888.691154058955,False
2025-02-03,INFY.NS,1832.0946617258883,1739.0147540265161,1916.7036827708603,False
2025-02-04,INFY.NS,1824.9033648234542,1733.1201839765672,1917.4500152382188,False
2025-02-05,INFY.NS,1820.831600338267,1734.0417623633523,1904.8984094691723,False
2025-02-06,INFY.NS,1812.7907279689994,1727.4742006317106,1903.2168602484364,False
2025-02-07,INFY.NS,1801.1238297292957,1711.444471740248,1889.502473820577,False
2025-02-10,INFY.NS,1774.2541474093096,1685.7117716720995,1861.9929291168814,False
2025-02-11,INFY.NS,1765.4197647080077,1676.6073614519685,1854.3215075221763,False
2025-02-12,INFY.NS,1760.0691607003948,1670.517582965625,1850.2470748159847,False
2025-02-13,INFY.NS,1751.1040835944862,1661.768719548264,1841.9894839968308,False
2025-02-14,INFY.NS,1738.851000818151,1651.9367244581792,1832.5754554988532,False
2025-02-17,INFY.NS,1712.000311281769,1627.549793240767,1803.4403779617194,False
2025-02-18,INFY.NS,1703.661170563527,1613.6445387383244,1795.5811406347477,False
2025-02-19,INFY.NS,1698.9928054054778,1601.9992030716023,1788.5248251546675,False
2025-02-20,INFY.NS,1690.8617819589056,1603.6836398246583,1774.493744672869,False
2025-02-21,INFY.NS,1679.5606409165487,1594.3293076632162,1771.4800757966402,False
2025-02-24,INFY.NS,1655.9751517546879,1562.30872129554,1747.4262840650454,False
2025-02-25,INFY.NS,1648.781402764812,1569.4785572111166,1737.8143342026783,False
2025-02-27,INFY.NS,1638.266778548214,1554.2974980022477,1727.940114012199,False
2025-02-28,INFY.NS,1628.0931886607,1546.633716505276,1718.7846301374996,False
2025-03-03,INFY.NS,1606.4081184186912,1518.2533797017356,1698.6731250615148,False
2025-03-04,INFY.NS,1599.8745473209735,1512.157894983222,1686.4320144589126,False
2025-03-05,INFY.NS,1597.0508107909832,1510.26782164585,1681.855516849275,False
2025-03-06,INFY.NS,1590.8122521588452,1503.9923381213023,1683.7817549391937,False
2025-03-07,INFY.NS,1581.465709789379,1497.3625631415682,1671.3127713722376,False
2025-03-10,INFY.NS,1564.3126467964983,1474.5945344861077,1652.6718536972573,False
2025-03-11,INFY.NS,1559.5240910284072,1463.199858834161,1650.5549832998413,False
2025-03-12,INFY.NS,1558.570555248853,1474.961096740976,1641.8609448709433,False
2025-03-13,INFY.NS,1554.3244193312862,1463.8203438902244,1635.1183237029668,False
2025-03-17,INFY.NS,1536.7502702893596,1453.836377053311,1630.4517552309549,False
2025-03-18,INFY.NS,1534.314167124012,1443.0999778280818,1629.2634402732922,False
2025-03-19,INFY.NS,1535.6960633630424,1445.9085820473458,1613.596895266134,False
2025-03-20,INFY.NS,1533.7284811442964,1445.416267416974,1622.767742371315,False
2025-03-21,INFY.NS,1528.6671476355202,1433.2528235611414,1617.9414543897433,False
2025-03-24,INFY.NS,1523.8443734978814,1443.0994632991872,1612.5217945817235,False
2025-03-25,INFY.NS,1522.7652211219483,1433.1387871793984,1613.0355213979965,False
2025-03-26,INFY.NS,1525.2037600689898,1438.625744168986,1610.8460170610158,False
2025-03-27,INFY.NS,1523.9642686519987,1436.1791950282359,1615.629383193072,False
2025-03-28,INFY.NS,1519.2813132954627,1431.6745595734988,1604.4897856786843,False
2025-04-01,INFY.NS,1511.2742601467908,1418.7029021716069,1605.5388062167065,False
2025-04-02,INFY.NS,1512.3355119987716,1419.2214339565862,1599.1161466715193,False
2025-04-03,INFY.NS,1509.434599383754,1414.999973610423,1592.8567643567078,False
2025-04-04,INFY.NS,1502.8510051679239,1413.993391219031,1589.8619190636123,False
2025-04-07,INFY.NS,1490.4137275325177,1403.8048009017466,1577.7032949397458,False
2025-04-08,INFY.NS,1486.021352334302,1402.4316029447841,1574.0192310164014,False
2025-04-09,INFY.NS,1484.914823376381,1393.9105775820435,1570.2892036655244,False
2025-04-11,INFY.NS,1471.6580199835719,1376.5734943865662,1558.3823390060513,False
2025-04-15,INFY.NS,1451.463554239733,1358.4424530328774,1536.1569659641216,False
2025-04-16,INFY.NS,1450.7123152293332,1363.3525043648167,1537.9632990241669,False
